variety,defect_type,length_mm,width_mm,aspect_ratio,area_mm2,circularity,solidity,eccentricity,rg_ratio,rb_ratio,gb_ratio,norm_s,quality_grade
1010,whole,6.313,2.1,3.005,10.414,0.5889,0.9323,0.6684,1.1499,1.4112,1.2948,0.1295,Grade A
1010,whole,5.706,2.084,2.738,9.34,0.7987,0.9162,0.6361,1.1008,1.3321,1.1499,0.2227,Common
1010,whole,5.157,2.033,2.536,8.235,0.9024,0.9203,0.6073,1.1086,1.2914,1.1892,0.2012,Grade A
1010,whole,5.23,1.952,2.68,8.019,0.6571,0.9494,0.6282,1.0241,1.357,1.3215,0.1191,Grade B
1010,broken,5.97,2.003,2.98,9.394,0.6359,0.9444,0.6656,1.2283,1.3047,1.2432,0.1212,Grade B
1010,broken,6.394,2.064,3.098,10.365,0.6687,0.92,0.6782,1.045,1.3684,1.2529,0.1464,Grade B
1010,foreign,5.625,1.988,2.829,8.784,0.91,0.9076,0.6478,1.0985,1.2682,1.2447,0.1546,Common
1010,whole,5.54,2.238,2.476,9.737,0.842,0.89,0.5977,1.008,1.4006,1.1589,0.1837,Grade A
1010,whole,5.316,2.132,2.494,8.899,0.7014,0.8723,0.6006,1.0956,1.3749,1.2064,0.1775,Grade B
1010,whole,6.447,2.019,3.193,10.222,0.6101,0.8535,0.6878,1.1087,1.3937,1.1923,0.2053,Grade A
1010,whole,5.299,2.065,2.566,8.596,0.7887,0.899,0.6117,0.9637,1.3359,1.2262,0.1721,Grade B
1010,whole,6.072,2.215,2.742,10.562,0.5221,0.936,0.6366,1.0897,1.3135,1.2209,0.1454,Grade A
1010,whole,5.53,2.006,2.756,8.713,0.5913,0.8657,0.6385,1.1608,1.2281,1.24,0.1739,Grade A
1010,whole,6.278,1.823,3.443,8.99,0.6536,0.9431,0.7104,1.167,1.2999,1.1641,0.2027,Grade B
1010,whole,5.834,1.855,3.146,8.498,0.617,0.9461,0.6831,1.1451,1.4321,1.239,0.1149,Grade B
1010,broken,5.646,2.045,2.761,9.069,0.8996,1.0,0.6391,1.1564,1.3053,1.2321,0.1866,Common
1010,whole,5.892,2.09,2.82,9.67,0.7666,0.9411,0.6466,1.1703,1.2706,1.1665,0.127,Common
1010,chalky,5.976,2.14,2.792,10.045,0.7458,1.0,0.6431,1.1197,1.3735,1.1345,0.1484,Rejected
1010,whole,5.682,1.987,2.86,8.868,0.5482,0.9021,0.6515,1.1734,1.366,1.23,0.1615,Grade A
1010,whole,6.08,2.076,2.929,9.912,0.7492,0.8937,0.6597,0.9908,1.4078,1.1713,0.1341,Common
1010,whole,6.224,2.111,2.948,10.319,0.7684,0.8517,0.662,1.1927,1.3409,1.1778,0.1643,Grade A
1010,broken,5.388,1.757,3.068,7.433,0.5478,0.9756,0.6751,1.0822,1.4427,1.1679,0.1088,Common
1010,broken,5.738,1.901,3.018,8.568,0.716,0.9451,0.6697,1.187,1.4359,1.1784,0.1202,Grade B
1010,broken,5.414,1.828,2.962,7.772,0.7344,0.9176,0.6636,1.122,1.2593,1.1862,0.1323,Common
1010,broken,5.062,1.833,2.762,7.286,0.5503,0.8875,0.6392,1.115,1.204,1.1447,0.1299,Rejected
1010,whole,5.511,2.032,2.712,8.795,0.6453,0.9064,0.6327,1.2204,1.4272,1.122,0.1849,Common
1010,discolored,6.125,1.793,3.415,8.626,0.7819,0.9969,0.708,1.0526,1.2466,1.2611,0.1681,Common
1010,whole,6.021,2.061,2.921,9.747,0.7391,0.8537,0.6588,1.1828,1.4136,1.1862,0.1587,Grade A
1010,whole,6.029,1.989,3.031,9.417,0.8124,0.9033,0.6712,1.1539,1.2384,1.1986,0.1548,Grade B
1010,broken,5.747,2.149,2.675,9.699,0.6563,0.8397,0.6275,1.225,1.4305,1.1225,0.1807,Grade B
1010,broken,5.918,1.958,3.023,9.099,0.6216,0.8855,0.6703,1.065,1.2535,1.196,0.1385,Common
1010,broken,5.568,2.043,2.725,8.935,0.75,0.9436,0.6344,1.1246,1.3794,1.2289,0.1229,Common
1010,damaged,5.495,2.007,2.738,8.661,0.7683,0.9095,0.6361,1.1844,1.5091,1.1528,0.1186,Rejected
1010,discolored,5.708,2.262,2.524,10.138,0.5661,0.9546,0.6053,1.0836,1.4576,1.3196,0.137,Common
1010,discolored,5.58,2.155,2.59,9.443,0.6613,0.9177,0.6153,1.1215,1.1664,1.1992,0.1393,Common
1010,chalky,5.603,2.26,2.479,9.944,0.5743,0.9607,0.5983,1.1033,1.2976,1.2474,0.1702,Rejected
1001,chalky,4.201,2.165,1.94,7.144,0.5915,0.8787,0.4872,1.2769,1.3996,1.1089,0.1103,Rejected
1001,whole,4.465,2.244,1.99,7.868,0.6875,0.9364,0.4999,1.1052,1.1225,1.1762,0.1245,Grade A
1001,whole,4.41,2.231,1.977,7.728,0.7922,0.9441,0.4967,1.1252,1.3485,1.3134,0.1161,Grade B
1001,whole,4.467,2.098,2.129,7.36,0.6583,0.9052,0.5325,1.1585,1.3735,1.1153,0.1516,Grade A
1001,whole,4.087,2.023,2.02,6.494,0.6783,0.9046,0.5074,1.2456,1.3346,1.1073,0.1331,Common
1001,whole,4.606,2.759,1.669,9.983,0.5414,0.826,0.4045,1.2123,1.3312,1.1379,0.166,Grade A
1001,broken,4.398,2.503,1.757,8.648,0.5986,0.9243,0.4341,1.0445,1.3204,1.1363,0.1378,Grade B
1001,whole,4.558,2.248,2.027,8.048,0.7038,0.8476,0.5091,1.082,1.296,1.3472,0.1166,Grade B
1001,whole,4.384,2.687,1.632,9.252,0.7372,0.9395,0.3909,1.0968,1.3979,1.2558,0.1312,Grade A
1001,foreign,4.06,2.286,1.776,7.289,0.8237,0.8971,0.4401,1.0974,1.3046,1.2409,0.0826,Common
1001,whole,4.118,2.346,1.755,7.589,0.82,0.8954,0.4334,0.9874,1.3496,1.1519,0.1143,Grade A
1001,chalky,4.119,1.815,2.269,5.87,0.7897,0.9837,0.5613,1.1391,1.209,1.1779,0.1498,Rejected
1001,whole,4.08,2.318,1.76,7.428,0.7457,0.9928,0.435,1.1423,1.3631,1.195,0.1923,Grade B
1001,whole,4.721,2.454,1.924,9.097,0.6557,0.896,0.483,1.1178,1.3371,1.2018,0.1593,Grade B
1001,whole,4.357,2.507,1.738,8.58,0.5967,0.9399,0.4279,1.2086,1.2826,1.1391,0.1304,Grade A
1001,chalky,4.189,1.991,2.104,6.549,0.7016,0.9651,0.527,1.0455,1.4215,1.2206,0.1809,Common
1001,whole,3.972,2.496,1.592,7.787,0.7172,0.9477,0.3756,1.0295,1.2284,1.2258,0.1215,Grade B
1001,whole,4.554,2.029,2.245,7.257,0.7552,0.9513,0.5565,1.0582,1.3466,1.2056,0.1338,Grade A
1001,damaged,4.405,1.956,2.252,6.766,0.7095,0.9068,0.558,1.1407,1.2758,1.1702,0.172,Rejected
1001,whole,4.401,2.37,1.857,8.19,0.7469,0.8432,0.4644,1.1454,1.349,1.129,0.1427,Grade A
1001,whole,4.4,2.615,1.683,9.037,0.8082,0.8544,0.4092,1.1373,1.4063,1.2132,0.1827,Grade B
1001,whole,4.375,2.53,1.729,8.693,0.7145,0.9212,0.425,1.0789,1.4251,1.1409,0.196,Grade B
1001,broken,4.41,1.838,2.4,6.367,0.7626,0.9643,0.585,1.0645,1.3099,1.3072,0.1348,Common
1001,whole,4.889,2.301,2.125,8.834,0.8011,0.9871,0.5316,1.0555,1.2612,1.2639,0.2006,Grade B
1001,foreign,4.896,2.183,2.243,8.395,0.6665,0.9371,0.5561,1.1932,1.3683,1.2149,0.1639,Rejected
1001,whole,3.541,2.235,1.585,6.215,0.7241,0.8624,0.3729,1.1232,1.2836,1.2953,0.1972,Grade A
1001,whole,4.278,2.201,1.944,7.394,0.7195,0.8821,0.4882,1.0322,1.3498,1.2278,0.1259,Grade B
1001,whole,4.376,2.48,1.764,8.525,0.6966,0.9427,0.4364,1.069,1.2843,1.1776,0.1276,Grade A
1001,whole,4.247,1.959,2.168,6.535,0.6509,0.9058,0.5408,1.0846,1.2807,1.1863,0.1644,Grade B
1001,whole,3.939,2.071,1.902,6.406,0.6513,0.9024,0.477,1.0538,1.1963,1.1626,0.1554,Grade B
1001,whole,4.176,2.096,1.992,6.875,0.6969,0.8776,0.5006,1.1344,1.1571,1.1684,0.159,Grade A
1001,whole,4.405,2.079,2.119,7.193,0.6905,0.8312,0.5302,1.0952,1.2334,1.2449,0.1335,Grade A
1001,chalky,4.822,2.229,2.163,8.442,0.8833,0.9607,0.5398,1.1289,1.3295,1.2136,0.0922,Rejected
1001,whole,4.216,2.486,1.696,8.232,0.6951,0.8497,0.4139,1.0969,1.4363,1.2648,0.1481,Common
1001,whole,3.789,2.097,1.807,6.239,0.8563,0.9063,0.4497,1.0854,1.276,1.3042,0.1988,Grade B
1001,whole,4.389,1.966,2.232,6.778,0.8477,0.8616,0.554,1.113,1.2122,1.1547,0.1249,Grade A
1001,whole,4.136,2.483,1.665,8.066,0.5895,0.931,0.4031,1.1731,1.2589,1.1469,0.1431,Grade B
1001,whole,4.141,2.406,1.721,7.826,0.5898,0.9541,0.4222,1.1245,1.2754,1.1397,0.1234,Common
1001,discolored,4.46,2.57,1.735,9.005,0.6363,0.9429,0.427,0.9748,1.2532,1.1881,0.1227,Common
1001,whole,4.019,2.153,1.867,6.796,0.7292,0.9106,0.4671,0.9657,1.1303,1.1536,0.1637,Grade A
1001,whole,4.142,2.605,1.59,8.476,0.6615,0.9391,0.3749,1.1085,1.1296,1.2361,0.1565,Grade A
1001,whole,3.675,2.679,1.371,7.733,0.6713,0.9344,0.2761,1.0973,1.2661,1.1558,0.1599,Grade A
1001,broken,4.175,2.051,2.035,6.727,0.655,0.9829,0.5111,1.0679,1.3287,1.1461,0.1727,Common
1001,foreign,4.247,2.447,1.736,8.163,0.7098,0.9848,0.4271,1.0569,1.3596,1.1783,0.1481,Rejected
1001,whole,4.265,2.347,1.817,7.863,0.8578,0.9693,0.4527,1.1521,1.2636,1.1366,0.1787,Common
1001,discolored,4.563,2.624,1.739,9.403,0.6396,0.9085,0.4282,1.0016,1.2686,1.2498,0.136,Common
1001,broken,4.492,2.258,1.989,7.967,0.7324,0.8626,0.4998,1.1051,1.0607,1.1788,0.1011,Common
1001,whole,4.44,2.635,1.685,9.187,0.6051,1.0,0.4101,1.1559,1.2811,1.2581,0.1168,Grade A
1001,whole,4.141,2.068,2.003,6.725,0.8223,0.9071,0.5032,1.1212,1.2544,1.0808,0.1581,Grade A
1001,chalky,3.89,2.737,1.421,8.362,0.7911,0.9253,0.3012,1.1758,1.2323,1.2226,0.156,Rejected
1001,whole,4.52,2.364,1.912,8.39,0.5345,0.872,0.4798,1.0926,1.3075,1.1222,0.2224,Common
1001,whole,4.755,2.432,1.955,9.084,0.7072,0.9094,0.491,1.0429,1.3062,1.2055,0.1127,Common
1001,whole,3.728,2.111,1.766,6.18,0.6586,1.0,0.437,1.1334,1.1932,1.2192,0.1036,Grade B
1001,chalky,4.272,2.592,1.648,8.695,0.5713,0.8501,0.397,1.065,1.3831,1.0988,0.065,Common
1001,whole,4.66,2.198,2.12,8.045,0.6589,0.9777,0.5305,0.9878,1.2689,1.2014,0.1635,Grade A
1001,whole,3.554,2.155,1.649,6.015,0.7454,0.8709,0.3972,1.1035,1.3357,1.1694,0.1551,Grade A
1001,chalky,4.483,2.335,1.92,8.22,0.6413,0.9312,0.482,1.1429,1.136,1.2595,0.1399,Rejected
1001,whole,3.888,2.144,1.814,6.548,0.6711,0.8808,0.4517,1.2041,1.2315,1.1567,0.1561,Grade A
1001,discolored,4.395,2.227,1.974,7.687,0.6907,0.8935,0.4959,1.0091,1.3257,1.2953,0.1506,Common
1001,broken,4.368,2.452,1.781,8.412,0.5731,1.0,0.4416,1.1121,1.4305,1.146,0.2045,Rejected
1001,chalky,4.37,2.245,1.946,7.707,0.8201,0.927,0.4888,0.982,1.2106,1.1788,0.1593,Rejected
1001,broken,3.715,2.332,1.593,6.802,0.5182,0.958,0.3762,1.0943,1.3336,1.1382,0.1884,Rejected
1001,discolored,4.261,2.428,1.755,8.124,0.6293,0.9628,0.4335,1.199,1.3856,1.1462,0.1608,Common
1001,broken,3.912,2.426,1.613,7.454,0.7451,0.8265,0.3837,1.0303,1.2773,1.1719,0.1137,Rejected
1001,discolored,4.242,2.134,1.988,7.108,0.8049,1.0,0.4995,1.071,1.251,1.2195,0.1393,Rejected
1001,foreign,3.727,2.59,1.439,7.582,0.7073,0.8994,0.3099,1.0946,1.297,1.0861,0.1948,Rejected
1001,chalky,4.585,2.075,2.209,7.474,0.7473,0.9066,0.5494,1.1508,1.1298,1.1841,0.1319,Rejected
1001,whole,4.088,2.143,1.907,6.881,0.6889,0.8752,0.4784,1.1505,1.2705,1.0156,0.1388,Grade A
1001,whole,3.929,2.324,1.69,7.171,0.8329,0.9357,0.4119,1.0636,1.3365,1.1625,0.1292,Grade A
1001,damaged,4.183,2.335,1.792,7.671,0.6903,0.8992,0.4449,1.0433,1.3487,1.111,0.1733,Rejected
1001,whole,3.999,2.134,1.874,6.705,0.5533,0.8949,0.4691,1.1585,1.3413,1.2487,0.1657,Grade A
1001,whole,4.066,2.593,1.568,8.28,0.5803,0.9647,0.3664,1.1536,1.4464,1.1654,0.1714,Grade B
1001,chalky,3.839,1.886,2.035,5.688,0.7713,0.8258,0.5111,1.0777,1.335,1.2011,0.1628,Rejected
1001,whole,4.014,2.151,1.866,6.782,0.6227,0.9615,0.467,1.154,1.3361,1.261,0.1147,Grade B
1001,whole,4.521,2.692,1.679,9.558,0.5343,0.8938,0.408,1.0559,1.3577,1.127,0.1727,Grade B
1001,whole,4.385,2.083,2.106,7.173,0.6153,0.9825,0.5273,1.1468,1.2969,1.1649,0.0892,Grade A
1001,whole,3.979,2.721,1.462,8.501,0.572,0.9295,0.3209,1.1604,1.1996,1.2011,0.1781,Grade A
1001,broken,3.799,2.533,1.5,7.558,0.6827,0.9586,0.3378,1.1265,1.2413,1.2037,0.0943,Rejected
1001,whole,4.492,2.533,1.773,8.935,0.7368,0.9274,0.4393,1.0471,1.243,1.2612,0.1931,Grade A
1001,whole,4.029,2.558,1.575,8.094,0.7665,1.0,0.369,1.0473,1.2698,1.2039,0.1694,Grade A
1001,whole,4.564,2.459,1.856,8.814,0.6084,0.9878,0.4642,1.1702,1.3107,1.1948,0.1666,Grade A
1001,whole,3.654,2.493,1.466,7.155,0.5439,0.9952,0.3225,1.0802,1.2831,1.1523,0.1414,Common
1001,broken,4.726,1.753,2.696,6.505,0.8277,0.9369,0.6305,1.0276,1.214,1.2906,0.1216,Common
1001,whole,4.402,2.094,2.102,7.238,0.7217,0.8687,0.5266,1.166,1.3849,1.2219,0.1608,Grade B
1001,whole,3.945,2.399,1.645,7.434,0.9086,0.8693,0.3957,1.0783,1.3333,1.1868,0.1205,Grade A
1001,broken,4.359,2.101,2.075,7.193,0.5451,0.9329,0.5203,1.1662,1.338,1.1899,0.1323,Grade B
1001,broken,4.574,1.96,2.334,7.041,0.859,0.9487,0.5733,1.184,1.1926,1.1081,0.1455,Common
1001,whole,4.512,2.247,2.008,7.961,0.5974,0.9815,0.5045,1.0421,1.4303,1.1729,0.1977,Common
1001,whole,4.144,2.225,1.863,7.242,0.7428,0.9239,0.466,1.0644,1.2867,1.1947,0.0861,Grade B
1001,chalky,3.954,1.929,2.05,5.99,0.5206,0.8522,0.5146,1.0575,1.4563,1.1584,0.1553,Rejected
1001,whole,4.42,2.329,1.898,8.085,0.6923,0.8602,0.4759,1.1871,1.4446,1.089,0.1193,Grade A
1001,whole,4.452,2.14,2.08,7.482,0.9165,0.9795,0.5216,1.1128,1.3822,1.2564,0.1331,Grade A
1001,whole,4.558,2.331,1.956,8.344,0.5423,0.8799,0.4913,1.0956,1.2939,1.3084,0.1084,Common
1001,whole,4.452,2.628,1.694,9.187,0.9271,0.8998,0.4132,1.1295,1.3456,1.2017,0.147,Common
1001,whole,4.431,1.743,2.542,6.065,0.7682,0.9263,0.6082,1.0867,1.4637,1.1495,0.1379,Grade B
1001,chalky,4.135,2.268,1.823,7.364,0.7841,0.9304,0.4546,1.0224,1.2574,1.1536,0.1477,Rejected
1001,whole,3.767,2.534,1.487,7.498,0.7253,0.9892,0.3318,1.1267,1.3881,1.218,0.1904,Common
1001,broken,4.982,2.496,1.996,9.764,0.7574,0.8562,0.5015,1.0227,1.3234,1.1987,0.1316,Common
1001,whole,4.509,2.049,2.2,7.256,0.6888,0.8798,0.5476,1.0767,1.2669,1.1613,0.1123,Grade A
1001,damaged,3.421,2.752,1.243,7.394,0.8089,0.9012,0.2021,1.1011,1.2063,1.2917,0.2069,Rejected
1001,whole,4.353,2.006,2.17,6.857,0.6588,0.9266,0.5413,1.0727,1.2825,1.1845,0.1476,Grade A
1001,whole,4.085,2.017,2.025,6.472,0.7978,0.8147,0.5086,1.1692,1.4109,1.1719,0.0719,Grade A
1001,whole,3.997,2.187,1.828,6.864,0.853,0.9532,0.4559,1.0445,1.1722,1.1704,0.1436,Grade B
1001,foreign,4.453,2.726,1.634,9.534,0.7816,0.9176,0.3917,1.089,1.2715,1.2608,0.1312,Common
1001,whole,4.314,2.311,1.866,7.83,0.6498,0.8514,0.467,1.1194,1.2951,1.22,0.134,Grade B
1001,whole,4.814,1.916,2.513,7.242,0.7435,0.9438,0.6036,1.0523,1.334,1.2668,0.0835,Grade A
1001,whole,4.01,2.658,1.509,8.373,0.6418,0.8613,0.3415,1.0881,1.4654,1.0801,0.1185,Grade B
1001,chalky,4.269,2.027,2.106,6.798,0.9096,0.9997,0.5273,1.1407,1.235,1.1871,0.1452,Rejected
1001,whole,4.564,2.063,2.212,7.395,0.8376,0.9357,0.55,1.1412,1.4173,1.1233,0.1489,Grade A
1001,whole,4.404,2.853,1.544,9.867,0.516,0.9184,0.3565,1.1384,1.3098,1.1832,0.111,Grade B
1001,chalky,3.643,2.563,1.421,7.333,0.7958,0.9226,0.3014,1.1137,1.3859,1.2035,0.1771,Rejected
1001,whole,4.396,2.343,1.877,8.089,0.573,0.9343,0.4699,1.0501,1.2489,1.1411,0.118,Grade B
1001,whole,4.876,2.031,2.401,7.778,0.7071,0.8553,0.5852,1.0583,1.2265,1.2644,0.1381,Grade B
1001,damaged,4.621,2.433,1.899,8.829,0.9304,0.846,0.4762,1.1756,1.3917,1.1316,0.1802,Common
1001,broken,4.401,2.25,1.956,7.777,0.6176,0.884,0.4913,1.223,1.3001,1.2369,0.1263,Common
1001,broken,3.895,2.209,1.764,6.757,0.7034,0.9256,0.4362,1.0893,1.3317,1.2316,0.172,Rejected
1001,whole,4.004,2.237,1.79,7.037,0.8195,0.9647,0.4443,1.0176,1.3281,1.0713,0.1514,Grade B
1001,broken,4.05,2.468,1.641,7.85,0.5457,0.8884,0.3942,1.1358,1.2493,1.1758,0.1723,Rejected
1001,whole,4.198,2.381,1.763,7.852,0.6876,0.9429,0.436,1.0702,1.2854,1.1306,0.1489,Grade A
1001,discolored,4.378,2.347,1.865,8.069,0.7783,0.8984,0.4668,1.1245,1.3441,1.2167,0.1252,Rejected
1001,whole,4.302,1.841,2.337,6.22,0.716,1.0,0.5739,1.0784,1.2418,1.2124,0.1594,Common
1001,broken,4.658,2.023,2.302,7.402,0.7731,0.9495,0.5675,1.0915,1.3271,1.2518,0.1762,Grade B
1001,chalky,4.281,2.316,1.848,7.786,0.7073,0.9125,0.4619,1.1715,1.2933,1.1228,0.1382,Rejected
1001,whole,4.481,2.113,2.121,7.436,0.9485,0.9332,0.5307,1.1765,1.2879,1.222,0.1752,Grade B
1001,whole,4.665,2.533,1.842,9.28,0.7872,0.9042,0.4601,1.0657,1.3266,1.246,0.1433,Common
1001,whole,4.62,2.62,1.763,9.504,0.6084,0.8782,0.4361,1.0916,1.3246,1.1585,0.1906,Grade A
1001,whole,4.427,2.309,1.918,8.028,0.5564,0.8542,0.4812,1.1169,1.1294,1.2508,0.1453,Grade A
1001,chalky,4.246,2.277,1.865,7.591,0.7996,1.0,0.4666,1.0017,1.1571,1.1527,0.1675,Rejected
1001,whole,3.94,1.79,2.201,5.541,0.7858,0.8786,0.5476,0.9789,1.3116,1.2376,0.1463,Grade A
1001,whole,4.189,2.003,2.091,6.591,0.6285,0.9461,0.524,1.1193,1.3134,1.1303,0.1446,Grade A
ganga_kaveri,broken,5.057,2.105,2.402,8.362,0.6414,0.9365,0.5855,1.1652,1.2341,1.1285,0.0709,Common
ganga_kaveri,damaged,4.689,2.396,1.957,8.822,0.7322,0.9194,0.4917,1.0412,1.3359,1.1835,0.1305,Common
ganga_kaveri,whole,4.288,2.661,1.612,8.96,0.7665,0.8924,0.3833,1.1501,1.2302,1.1231,0.1072,Grade A
ganga_kaveri,whole,4.033,2.494,1.617,7.901,0.5169,0.8586,0.3854,0.9655,1.2631,1.161,0.1202,Grade A
ganga_kaveri,whole,4.749,2.29,2.074,8.54,0.7316,0.8757,0.5201,1.1009,1.3743,1.2052,0.1176,Common
ganga_kaveri,whole,4.603,2.335,1.971,8.44,0.6836,0.9306,0.4953,1.0304,1.1887,1.0867,0.082,Grade A
ganga_kaveri,whole,4.314,2.503,1.724,8.48,0.7035,0.8216,0.4232,1.1293,1.3349,1.1104,0.1426,Grade A
ganga_kaveri,foreign,4.195,2.041,2.055,6.726,0.6617,0.9138,0.5158,1.0661,1.1753,1.146,0.1381,Common
ganga_kaveri,whole,4.386,2.634,1.665,9.074,0.5824,0.9444,0.4029,1.1609,1.3085,1.1578,0.1142,Grade B
ganga_kaveri,whole,4.29,2.32,1.849,7.818,0.8238,0.939,0.4619,1.0319,1.2452,1.1331,0.1087,Grade B
ganga_kaveri,whole,5.115,2.566,1.994,10.307,0.8091,0.8969,0.5009,1.081,1.1553,1.1385,0.1448,Common
ganga_kaveri,whole,5.015,2.179,2.302,8.58,0.6634,0.9124,0.5674,1.0063,1.3173,1.1266,0.1241,Grade A
ganga_kaveri,whole,4.598,2.357,1.951,8.511,0.6628,0.8836,0.49,1.1092,1.4023,1.1784,0.1599,Grade A
ganga_kaveri,broken,4.249,2.105,2.019,7.023,0.6261,0.9796,0.5071,1.147,1.2894,1.078,0.1241,Rejected
ganga_kaveri,broken,4.01,2.222,1.805,6.998,0.6936,0.9468,0.449,0.9582,1.257,1.1786,0.1555,Rejected
ganga_kaveri,whole,4.344,2.018,2.152,6.886,0.6607,0.9701,0.5375,1.1736,1.3268,1.1958,0.1414,Grade A
ganga_kaveri,whole,5.134,2.211,2.322,8.917,0.8615,0.9039,0.5711,1.1695,1.1575,1.2052,0.1079,Grade A
ganga_kaveri,whole,4.923,2.231,2.207,8.626,0.5501,0.9154,0.5489,1.0848,1.3139,1.227,0.1282,Grade B
ganga_kaveri,broken,4.489,2.078,2.161,7.325,0.6737,0.9032,0.5393,1.1476,1.307,1.0992,0.1352,Common
ganga_kaveri,chalky,4.884,2.552,1.914,9.79,0.706,0.9394,0.4802,1.165,1.1634,1.149,0.1068,Rejected
ganga_kaveri,whole,4.409,1.922,2.294,6.655,0.6588,0.9657,0.566,1.1223,1.3043,1.1532,0.0916,Grade B
ganga_kaveri,broken,5.299,2.514,2.108,10.463,0.6419,0.8894,0.5278,1.0844,1.2508,1.237,0.1356,Common
ganga_kaveri,whole,4.616,2.554,1.807,9.258,0.6392,0.9382,0.4498,1.1087,1.1188,1.2909,0.1687,Grade A
ganga_kaveri,whole,4.711,2.417,1.949,8.945,0.7356,0.9296,0.4895,1.1204,1.3858,1.2041,0.0985,Grade B
ganga_kaveri,whole,5.609,2.175,2.578,9.582,0.7243,0.8159,0.6137,1.1232,1.2261,1.2854,0.1068,Grade A
ganga_kaveri,whole,3.968,2.55,1.556,7.947,0.4935,0.9214,0.3614,0.9653,1.2444,1.2686,0.1408,Grade A
ganga_kaveri,whole,4.606,2.495,1.846,9.024,0.5633,0.9496,0.4613,0.9277,1.2196,1.1407,0.149,Grade A
ganga_kaveri,whole,4.285,2.44,1.756,8.21,0.6921,0.891,0.4338,1.0611,1.3257,1.1389,0.1274,Grade B
ganga_kaveri,whole,4.007,2.557,1.567,8.047,0.6321,0.9041,0.366,1.0431,1.2492,1.2659,0.1541,Grade B
ganga_kaveri,discolored,4.232,1.832,2.31,6.089,0.6191,0.9678,0.5689,1.121,1.2523,1.1687,0.1093,Rejected
ganga_kaveri,whole,4.083,2.46,1.66,7.888,0.7932,0.8992,0.4011,1.132,1.4952,1.1637,0.1418,Grade A
ganga_kaveri,whole,4.747,2.439,1.946,9.094,0.598,0.9303,0.4889,1.1777,1.3059,1.2277,0.1229,Common
ganga_kaveri,whole,4.296,2.464,1.744,8.312,0.6008,0.8884,0.4297,1.1014,1.2938,1.0986,0.1616,Grade B
ganga_kaveri,whole,4.108,2.371,1.733,7.65,0.6554,0.9257,0.4261,1.0682,1.1094,1.1467,0.1208,Grade B
ganga_kaveri,whole,5.137,2.018,2.546,8.141,0.8311,0.9088,0.6088,1.1416,1.2764,1.2384,0.1184,Common
ganga_kaveri,broken,4.248,2.684,1.583,8.956,0.6887,0.9311,0.3722,1.1641,1.1874,1.2057,0.1123,Grade B
ganga_kaveri,damaged,4.12,2.244,1.836,7.262,0.8351,0.9643,0.4582,1.0862,1.2894,1.1523,0.1707,Common
ganga_kaveri,whole,4.967,2.245,2.213,8.756,0.8559,0.8435,0.5501,1.1878,1.2402,1.1554,0.0733,Grade A
ganga_kaveri,broken,4.406,2.373,1.857,8.209,0.7958,0.9304,0.4644,1.1085,1.1824,1.1172,0.184,Common
ganga_kaveri,whole,4.522,2.4,1.884,8.526,0.807,0.9836,0.472,1.0834,1.2389,1.1666,0.1401,Common
ganga_kaveri,broken,4.798,2.728,1.759,10.279,0.7381,0.9356,0.4347,0.9989,1.0595,1.1933,0.1272,Grade B
ganga_kaveri,whole,4.581,2.626,1.745,9.446,0.7086,0.8827,0.4301,1.1494,1.2526,1.2016,0.1157,Grade A
ganga_kaveri,whole,4.604,2.496,1.845,9.026,0.6731,0.8282,0.4608,1.064,1.3335,1.1522,0.1226,Grade B
ganga_kaveri,whole,4.106,2.368,1.734,7.637,0.6516,0.8717,0.4267,1.0795,1.3093,1.1694,0.1392,Common
ganga_kaveri,whole,5.18,2.331,2.222,9.486,0.7278,0.8945,0.552,1.0392,1.2232,1.1413,0.1408,Grade B
ganga_kaveri,damaged,4.467,2.387,1.871,8.375,0.7396,0.9332,0.4684,1.167,1.0759,1.0268,0.1151,Rejected
ganga_kaveri,whole,4.951,2.087,2.373,8.115,0.3992,0.9486,0.5803,1.1046,1.1828,1.1109,0.1009,Common
ganga_kaveri,foreign,4.635,2.275,2.038,8.281,0.7494,0.7773,0.5117,1.0386,1.1799,1.1546,0.1139,Rejected
ganga_kaveri,whole,4.855,2.028,2.394,7.734,0.7045,0.9479,0.584,1.2014,1.2315,1.1895,0.0759,Grade A
ganga_kaveri,whole,4.598,2.636,1.745,9.519,0.5627,0.946,0.4301,1.2021,1.3036,1.1866,0.1303,Grade A
ganga_kaveri,whole,4.405,2.501,1.761,8.651,0.5437,0.861,0.4354,1.1761,1.2422,1.2572,0.1277,Grade A
ganga_kaveri,whole,4.411,2.54,1.737,8.799,0.7025,0.8428,0.4276,1.0999,1.4457,1.1996,0.1283,Common
ganga_kaveri,whole,4.667,2.182,2.139,7.997,0.7234,0.9718,0.5347,1.0398,1.384,1.1645,0.1034,Common
ganga_kaveri,broken,4.843,2.342,2.068,8.907,0.694,0.9447,0.5188,1.1075,1.1104,1.1027,0.1579,Grade B
ganga_kaveri,foreign,4.558,2.295,1.986,8.216,0.5641,0.866,0.4989,0.9687,1.2619,1.1341,0.101,Rejected
ganga_kaveri,whole,5.27,2.098,2.512,8.682,0.8159,0.9687,0.6035,1.0433,1.2863,1.1425,0.1356,Grade B
